timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,batt_1,batt_2,batt_3,note,ppg_1,ppg_2,ppg_3
1753770449.9798746,1348.2051,820.7692,806.26373,1260.7693,nan,nan,,,,,,,
1753770449.9818680,,,,,,,,,,,353814800.0,301183230.0,1851062.2
1753770449.9837711,553.6264,801.02563,809.0842,824.3956,nan,nan,,,,,,,
1753770449.9876676,0.0,795.78754,807.8755,0.0,nan,nan,,,,,,,
1753770449.9915640,138.20512,798.20514,806.26373,115.2381,nan,nan,,,,,,,
1753770449.9954605,1255.5311,815.5311,811.50183,1239.011,nan,nan,,,,,,,
1753770449.9974406,,,,,,,,,,,353846240.0,301181600.0,1854285.8
1753770449.9993570,1650.0,821.5751,807.47253,1650.0,nan,nan,,,,,,,
1753770450.0032535,860.2564,812.71063,806.26373,1158.8279,nan,nan,,,,,,,
1753770450.0071502,0.0,802.6374,811.50183,39.48718,nan,nan,,,,,,,
1753770450.0110466,117.25275,804.65204,809.4872,14.102564,nan,nan,,,,,,,
1753770450.0130131,,,,,,,,,,,353807550.0,301254940.0,1849450.5
1753770450.0149431,1255.1282,823.9927,813.5165,1164.8718,nan,nan,,,,,,,
1753770450.0188396,1650.0,831.6484,818.7546,1650.0,nan,nan,,,,,,,
1753770450.0227361,1130.6227,810.696,811.9048,1330.8792,nan,nan,,,,,,,
1753770450.0266325,16.117216,779.67035,813.5165,166.00732,nan,nan,,,,,,,
1753770450.0285859,,,,,,,,,,,353853470.0,301180800.0,1832527.5
1753770450.0305290,42.307693,782.8938,808.68134,0.0,nan,nan,,,,,,,
1753770450.0344257,1205.9707,813.5165,813.91943,1048.8279,nan,nan,,,,,,,
1753770450.0383222,1650.0,825.2015,813.91943,1650.0,nan,nan,,,,,,,
1753770450.0422187,1295.0183,809.89014,809.0842,1418.7179,nan,nan,,,,,,,
1753770450.0441585,,,,,,,,,,,353877660.0,301199330.0,1851062.2
1753770450.0461152,140.21979,798.20514,809.89014,290.51282,nan,nan,,,,,,,
1753770450.0500116,0.0,797.3993,809.0842,0.0,nan,nan,,,,,,,
1753770450.0539081,1064.5421,807.0696,807.8755,758.315,nan,nan,,,,,,,
1753770450.0578046,1650.0,822.7839,813.1135,1650.0,nan,nan,,,,,,,
1753770450.0597310,,,,,,,,,,,353869600.0,301231580.0,1875238.1
1753770450.0617013,1443.6996,820.3663,824.3956,1502.5275,nan,nan,,,,,,,
1753770450.0655978,301.79486,804.65204,816.337,364.652,nan,nan,,,,,,,
1753770450.0694942,0.0,796.99634,806.26373,0.0,nan,nan,,,,,,,
1753770450.0733907,873.5531,801.8315,808.2784,473.84616,nan,nan,,,,,,,
1753770450.0753038,,,,,,,,,,,353834140.0,301192900.0,1780146.5
1753770450.0772872,1650.0,817.5458,815.5311,1618.1685,nan,nan,,,,,,,
1753770450.0811837,1485.2014,815.9341,812.71063,1545.238,nan,nan,,,,,,,
1753770450.0850804,358.20514,795.38464,809.0842,353.7729,nan,nan,,,,,,,
1753770450.0889769,0.0,792.1612,804.65204,0.0,nan,nan,,,,,,,
1753770450.0908763,,,,,,,,,,,353954200.0,301130850.0,1852674.0
1753770450.0928733,584.2491,807.47253,808.68134,289.30402,nan,nan,,,,,,,
1753770450.0967698,1650.0,819.5604,810.696,1493.663,nan,nan,,,,,,,
1753770450.1006663,1529.1208,815.12823,801.8315,1632.2711,nan,nan,,,,,,,
1753770450.1045628,362.23444,806.26373,813.1135,421.86813,nan,nan,,,,,,,
1753770450.1064489,,,,,,,,,,,353895400.0,301209020.0,1814798.5
1753770450.1084592,0.0,802.23444,819.15753,0.0,nan,nan,,,,,,,
1753770450.1123559,369.08426,808.68134,815.12823,196.22711,nan,nan,,,,,,,
1753770450.1162524,1558.5348,821.1722,813.1135,1390.9158,nan,nan,,,,,,,
1753770450.1201489,1585.9341,814.3223,812.3077,1650.0,nan,nan,,,,,,,
1753770450.1220214,,,,,,,,,,,353917150.0,301205000.0,1852674.0
1753770450.1240454,378.35165,802.23444,813.5165,481.90475,nan,nan,,,,,,,
1753770450.1279418,0.0,800.6227,806.26373,0.0,nan,nan,,,,,,,
